"name","age","hometown","occupation","eliminated","season","lon","lat","region","region.1","region.2","region.3","region.4","region.5","region.6","region.7","manager","teacher","nurse","student","sales","attorney","model","real_estate","owner"
"Helene Eksterowicz",27,"Gloucester, New Jersey","school psychologist","Winner",2,-75.0494329,39.7933809,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brooke Smith",22,"Albertville, Alabama","college student","Runner-Up",2,-86.2088669,34.2675937,"3",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Gwen Gioia",31,"Philadelphia, Pennsylvania","executive recruiter","Week 6",2,-75.1652215,39.9525839,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angela",27,"Kansas City, Missouri","registered nurse","Week 5",2,-94.5785667,39.0997265,"5",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Hayley",28,"Lake Oswego, Oregon","retail manager","Week 4",2,-122.6706498,45.4206749,"7",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Heather Crawford",30,"Dallas, Texas","flight attendant","Week 4",2,-96.7969879,32.7766642,"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Christi",23,"Boise, Idaho","assistant financial advisor","Week 3",2,-116.2146068,43.6187102,"7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Heather",24,"Walnut Creek, California","marriage therapy trainee","Week 3",2,-122.0651819,37.9100783,"7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Kyla",22,"Midvale, Utah","airline supervisor","Week 3",2,-111.8999353,40.6110589,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shannon",26,"Long Island, New York","graphic artist","Week 3",2,-73.134961,40.789142,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dana",24,"Beverly Hills, California","radio sales","Week 2",2,-118.4003563,34.0736204,"2",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Erin",25,"Westchester, Pennsylvania","publications quality control","Week 2",2,-75.6054882,39.9606643,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Suzanne",33,"Redondo Beach, California","flight attendant","Week 2",2,-118.3884078,33.8491816,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frances",30,"San Francisco, California","strategic planning analyst","Week 2 (Quit)",2,-122.4194155,37.7749295,"7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Anindita",27,"New York City, New York","attorney","Week 2 (Quit)",2,-74.0059413,40.7127837,"1",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Amber",26,"Chapel Hill, North Carolina","psychologist","Week 1",2,-79.0558445,35.9131996,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Camille",29,"Los Angeles, California","actress","Week 1",2,-118.2436849,34.0522342,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cari",29,"Granite City, Illinois","3rd grade teacher","Week 1",2,-90.1487199,38.7014389,"3",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Christy",24,"Avondale, Arizona","radiological technologist","Week 1",2,-112.3496021,33.4355977,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erin",24,"Houston, Texas","interior designer","Week 1",2,-95.3698028,29.7604267,"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Fatima",22,"Long Beach, California","college student","Week 1",2,-118.1937395,33.7700504,"2",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Liangy",30,"Coral Gables, Florida","paralegal","Week 1",2,-80.2683838,25.72149,"4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Lori",26,"Dallas, Texas","former nba cheerleader","Week 1",2,-96.7969879,32.7766642,"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Merrilee",28,"Forked River, New Jersey","1st grade teacher","Week 1",2,-74.1901399,39.8398413,"1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Suzi",28,"Richmond, Virginia","communications specialist","Week 1",2,-77.4360481,37.5407246,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amanda Marsh",23,"Chanute, Kansas","event planner","Winner",1,-95.4572034,37.6792135,"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Trista Rehn",29,"Miami, Florida","miami heat dancer","Runner-Up",1,-80.1917902,25.7616798,"4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Shannon Oliver",24,"Dallas, Texas","financial management consultant","Week 5",1,-96.7969879,32.7766642,"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Kim",24,"Tempe, Arizona","nanny","Week 4",1,-111.9400054,33.4255104,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cathy Grimes",22,"Terra Haute, Indiana","graduate student","Week 3",1,-87.4139092,39.4667034,"3",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Christina",28,"Bonita, California","attorney","Week 3",1,-117.0352904,32.6583258,"2",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"LaNease Adams",23,"Los Angeles, California","actress","Week 3",1,-118.2436849,34.0522342,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhonda",28,"Woodward, Oklahoma","commercial real estate agent","Week 3",1,-99.3903862,36.4336481,"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Alexa",27,"Beverly Hills, California","special ed. teacher","Week 2",1,-118.4003563,34.0736204,"2",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Amy",28,"New York City, New York","production coordinator","Week 2",1,-74.0059413,40.7127837,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angela",25,"Avondale, Arizona","hooters waitress","Week 2",1,-112.3496021,33.4355977,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angelique",27,"Burbank, California","actress","Week 2",1,-118.3089661,34.1808392,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Katie",23,"Malden, Massachusetts","power tool sales rep.","Week 2",1,-71.066163,42.4250964,"1",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Melissa",25,"Tempe, Arizona","photographer","Week 2",1,-111.9400054,33.4255104,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tina",27,"Plano, Texas","graduate student","Week 2",1,-96.6988856,33.0198431,"5",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Amber",29,"Los Angeles, California","business development director","Week 1",1,-118.2436849,34.0522342,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daniela",30,"Seattle, Washington","neuropsychologist","Week 1",1,-122.3320708,47.6062095,"7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Denise",30,"Honolulu, Hawaii","doctor","Week 1",1,-157.8583333,21.3069444,"7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Jackie",22,"Pittsburgh, Pennsylvania","bar manager","Week 1",1,-79.9958864,40.4406248,"1",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Jill",31,"Chicago, Illinois","retail manager","Week 1",1,-87.6297982,41.8781136,"3",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Kristina",27,"Los Angeles, California","advertising executive","Week 1",1,-118.2436849,34.0522342,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lisa",29,"Dallas, Texas","attorney","Week 1",1,-96.7969879,32.7766642,"5",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Paula",24,"Swansea, Massachusetts","insurance representative","Week 1",1,-71.1895617,41.748162,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rachel",29,"Eastchester, New York","6th grade teacher","Week 1",1,-73.8095574,40.9595605,"1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Wendi",26,"Dallas, Texas","technology specialist","Week 1",1,-96.7969879,32.7766642,"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Jessica Bowlin",22,"Huntington Beach, California","student","Winner",5,-117.9992265,33.660297,"2",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Tara Huckeby",23,"Shawnee, Oklahoma","general contractor","Week 7",5,-96.9253004,35.3272928,"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Mandy Jaye Jeffreys",26,"Midland, Texas","designer for an architect firm","Week 6",5,-102.0779146,31.9973456,"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Trish Schneider",28,"Atlanta, Georgia","model","Week 5",5,-84.3879824,33.7489954,"3",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Suzie Williams",23,"Ann Arbor, Michigan","prosthetic technician","Week 4",5,-83.7430378,42.2808256,"3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Karen Lindsay",28,"Pleasant Grove, Utah","pharmaceutical sales","Week 4",5,-111.73854,40.3641184,"2",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Jessica Holcomb",25,"Pearsall, Texas","attorney","Week 3",5,-99.095033,28.8921939,"5",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Julie Durda",24,"Sacramento, California","professional cheerleader","Week 3",5,-121.4943996,38.5815719,"7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Jenny De Schiralli",26,"Carrboro, North Carolina","swim instructor/nanny/personal trainer","Week 3",5,-79.0752895,35.9101438,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Katie Gehart",22,"Scottsdale, Arizona","lasik eye and skin center manager","Week 3",5,-111.9260519,33.4941704,"2",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Jean-Marie Callahan",26,"Gibson, North Carolina","hair stylist","Week 2",5,-79.6106104,34.7590477,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Debbie Merkett",27,"Pinetops, North Carolina","massage therapist/bartender","Week 2",5,-77.6377521,35.7884908,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anne-Catherine Labbé",27,"Quebec City, Quebec","model/make-up artist","Week 2",5,-71.2079809,46.8138783,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Amber LaRoux",27,"Sunriver, Oregon","consultant","Week 2",5,-121.4333539,43.8693935,"7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Mandy Clemens",25,"San Diego, California","professional soccer player","Week 2",5,-117.1610838,32.715738,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kristy Romero",25,"Dearborn, Michigan","student","Week 2",5,-83.1763145,42.3222599,"3",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Celeste Creel",24,"Ithaca, New York","model/executive assistant","Week 2",5,-76.5018807,42.4439614,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Jenny Matthews",24,"Canton, Michigan","retail manager","Week 2",5,-83.482116,42.3086444,"3",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Dolores Farburg",26,"Madison, New Jersey","account manager","Week 1",5,-74.417097,40.7598227,"1",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Francine Jones",25,"Houston, Texas","retail manager","Week 1",5,-95.3698028,29.7604267,"5",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"DeShaun Warner",25,"Phillipsburg, New Jersey","account manager/sales","Week 1",5,-75.1901761,40.6937099,"1",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Jessica Kyron",21,"Cincinnati, Ohio","student","Week 1",5,-84.5120196,39.1031182,"3",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Holly Reeder",26,"Tulsa, Oklahoma","bank representative","Week 1",5,-95.992775,36.1539816,"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Rachel Clementi",26,"Buffalo, New York","fashion public relations manager","Week 1",5,-78.8783689,42.8864468,"1",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Kristin Clearwater",25,"Sausalito, California","singer","Week 1",5,-122.4852507,37.8590937,"7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Jennifer Wilson",24,"Pembroke Pines, Florida","teacher","Winner",9,-80.2962555,26.007765,"4",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Sadie Murray",23,"Carlsbad, California","publicist","Week 7",9,-117.3505939,33.1580933,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lisa Blank",25,"Portland, Oregon","marketing manager","Week 6",9,-122.6764816,45.5230622,"7",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Agnese Polliza",24,"Venice, Italy","student","Week 5",9,12.3155151,45.4408474,"6",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Jeanette Pawula",23,"Bloomingdale, Illinois","teacher","Week 4",9,-88.0809036,41.9575285,"3",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Desiree Valentin",22,"Salt Lake City, Utah","realtor","Week 4",9,-111.8910474,40.7607793,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jami Matzke",27,"Galveston, Texas","event planner","Week 3",9,-94.7976958,29.3013479,"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Gina Clark",28,"Chicago, Illinois","ultrasound technician","Week 3",9,-87.6297982,41.8781136,"3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erica Rose",23,"Houston, Texas","socialite","Week 3",9,-95.3698028,29.7604267,"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Sarah Schnare",30,"Nelson, British Columbia","journalist","Week 2",9,-117.2948343,49.4928119,"7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Kim Jackson",27,"Newport Beach, California","interior designer","Week 2",9,-117.9289469,33.6189101,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ellen DeMaio",30,"New Haven, Connecticut","realtor","Week 2",9,-72.9278835,41.308274,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tara Durr",24,"St. Augustine, Florida","realtor","Week 1",9,-81.3124341,29.9012437,"4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Rosella Fratto",27,"Chicago, Illinois","make-up artist","Week 1",9,-87.6297982,41.8781136,"3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rita Ghazal",29,"Richmond, VA","policy advisor","Week 1",9,-77.4360481,37.5407246,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Renee Snell",30,"Baltimore, MD","broadcast marketer","Week 1",9,-76.6121893,39.2903848,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meri Barr",27,"Biloxi, MS","attorney","Week 1",9,-88.8853078,30.3960318,"3",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Laura Morgan",29,"San Diego, CA","dolphin trainer","Week 1",9,-117.1610838,32.715738,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jessica Horner",25,"Charlotte, NC","assistant buyer","Week 1",9,-80.8431267,35.2270869,"3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heather Sneed",34,"Aliquippa, PA","registered nurse","Week 1",9,-80.2621852,40.615537,"1",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Elyse Hammer",27,"New York, NY","physician","Week 1",9,-74.0059413,40.7127837,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cosetta Blanca",NA,"Italy","dancer","Week 1",9,12.56738,41.87194,"6",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Claudia Gismondi",22,"Boca Raton, FL","restaurateur","Week 1",9,-80.1289321,26.3683064,"4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Carissa Ilburg",25,"Cattaraugus, NY","attorney","Week 1",9,-78.8680903,42.3292287,"1",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Britt (Bowe) Newton",28,"Columbus, OH","beer chemist","Week 1",9,-82.9987942,39.9611755,"3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrea Shirley",28,"Cincinnati, OH","hotel concierge","Week 1",9,-84.5120196,39.1031182,"3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"April Jacobs",23,"Chicago, IL","model","Week 1",9,-87.6297982,41.8781136,"3",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Tessa Horst",26,"San Francisco, California","social worker","Winner",10,-122.4194155,37.7749295,"7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Bevin Nicole Powers",28,"Palo Alto, California","assistant","Week 8",10,-122.1430195,37.4418834,"7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Danielle Imwalle",25,"Bethel, Connecticut","graphic designer","Week 7",10,-73.4139621,41.3712283,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amber Alchalabi",23,"Sugar Land, Texas","teacher","Week 6",10,-95.6349463,29.6196787,"5",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Stephanie Wilhite",23,"Overland Park, Kansas","project manager","Week 5",10,-94.6707917,38.9822282,"5",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Tina Wu",26,"Los Angeles, California","medical student","Week 5",10,-118.2436849,34.0522342,"2",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Kate Brockhouse",24,"Ravenel, South Carolina","boutique owner","Week 4",10,-80.2500986,32.7632321,"4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Nicole Clary",26,"Charleston, SC","sales manager","Week 4",10,-79.9310512,32.7764749,"4",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"Stephanie Tipper",27,"Folly Beach, SC","organ donor coordinator","Week 4",10,-79.9403673,32.6551798,"4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Amanda Hackney",26,"Dallas, TX","financial analyst","Week 3",10,-96.7969879,32.7766642,"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Erin Parker",24,"Logansport, LA","financial analyst","Week 3",10,-93.9979678,31.975445,"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Peyton Wright",24,"La Vergne, Tennessee","sorority recruiter","Week 3",10,-86.5819394,36.0156178,"3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alexis Young",26,"Southlake, TX","attorney","Week 2",10,-97.1341783,32.9412363,"5",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Susan Anderson",23,"The Woodlands, TX","boutique manager","Week 2",10,-95.4612625,30.1658207,"5",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Tiffany Warren",28,"Boston, MA","medical equipment sales rep","Week 2",10,-71.0588801,42.3600825,"1",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Blakeney Rowe",29,"Birmingham, AL","radio sales","Week 1",10,-86.80249,33.5206608,"3",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Candace DeCost",23,"Hilton Head Island, SC","waitress","Week 1",10,-80.752608,32.216316,"4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Catherine Warren",23,"Lake Forest, IL","former miss illinois","Week 1",10,-87.840625,42.2586342,"3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Danielle Vallis",26,"Bronx, NY","attorney","Week 1",10,-73.8648268,40.8447819,"1",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Jackie Topelli",23,"Minneapolis, MN","executive coordinator","Week 1",10,-93.2650108,44.977753,"3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jeanette Alvarez",27,"Tampa, FL","health care manager","Week 1",10,-82.4571776,27.950575,"4",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Jessica Devallo",32,"New York, NY","hedge fund analyst","Week 1",10,-74.0059413,40.7127837,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Linda Malek",33,"Cuyahoga Falls, OH","attorney","Week 1",10,-81.4845585,41.1339449,"3",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Lindsay Smith",22,"Lawrence, KS","student","Week 1",10,-95.2352501,38.9716689,"5",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Tiffany Forester",27,"St. Louis Park, MN","real estate sales/development","Week 1",10,-93.3702186,44.9597376,"3",0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"Deanna Pappas",25,"Newnan, Georgia","realtor","Week 8",11,-84.7996573,33.3806716,"3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jenni Croft",27,"Wichita, Kansas","phoenix suns cheerleader","Week 8",11,-97.330053,37.6871761,"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Bettina Bell",27,"Washington, D.C.","realtor","Week 7",11,-77.0368707,38.9071923,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sheena Stewart",23,"Walnut Creek, California","internet marketing executive","Week 6",11,-122.0651819,37.9100783,"7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Hillary Reisinger",27,"Philadelphia, Pennsylvania","registered nurse","Week 5",11,-75.1652215,39.9525839,"1",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Kristy Katzmann",29,"Gurnee, Illinois","acupuncturist","Week 5",11,-87.9020186,42.3702996,"3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Estefania ""Stephy"" Kootz",26,"Atlanta, Georgia","executive assistant","Week 4",11,-84.3879824,33.7489954,"3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jade Beazley",24,"Nashville, Tennessee","boutique sales worker","Week 4",11,-86.7816016,36.1626638,"3",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"McCarten Delaney",26,"Lemon Grove, California","account manager","Week 4",11,-117.0314172,32.7425516,"2",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Lindsey Hawkins",25,"Livonia, Michigan","model","Week 3",11,-83.3527097,42.36837,"3",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Sarah Newlon",23,"O'Fallon, Illinois","bar manager","Week 3",11,-89.910991,38.592323,"3",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Solisa Shoop",25,"Georgetown, Texas","esthetician","Week 3",11,-97.6779842,30.6332618,"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Michele Leavy",30,"South Brunswick, New Jersey","realtor","Week 2",11,-74.5316938,40.3806901,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mallory Simons",24,"Honolulu, Hawaii","nanny","Week 2",11,-157.8583333,21.3069444,"7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Erin Gardner",25,"Tampa, Florida","publishing sales executive","Week 2",11,-82.4571776,27.950575,"4",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Jessica Kiss",27,"Lady Lake, Florida","news anchor","Week 1",11,-81.9228604,28.9174855,"4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Juli Gilliam",24,"Chicago, Illinois","law student","Week 1",11,-87.6297982,41.8781136,"3",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
